date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:00:50	6794/6794	---M--	200	added ('OK')	text/plain	etag:%221a8a-5523c51a%22	http://publish.uwo.ca/robots.txt		(from )
06:00:50	16281/16281	---M--	200	added ('OK')	text/html	etag:%223f99-5de6c627%22	http://publish.uwo.ca/~rmoir3/	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/index.html	(from )
06:00:50	6227/6227	---M--	200	added ('OK')	text/css	etag:%221853-5de6e0d3%22	http://publish.uwo.ca/~rmoir3/_static/sphinxdoc.css	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_static/sphinxdoc.css	(from http://publish.uwo.ca/~rmoir3/)
06:00:51	4395/4395	---M--	200	added ('OK')	text/css	etag:%22112b-5de6e0d3%22	http://publish.uwo.ca/~rmoir3/_static/pygments.css	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_static/pygments.css	(from http://publish.uwo.ca/~rmoir3/)
06:00:51	306/306	---M--	200	added ('OK')	application/x-javascript	etag:%22132-5de6e0d3%22	http://publish.uwo.ca/~rmoir3/_static/documentation_options.js	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_static/documentation_options.js	(from http://publish.uwo.ca/~rmoir3/)
06:00:52	88145/88145	---M--	200	added ('OK')	application/x-javascript	etag:%2215851-5de6e0d4%22	http://publish.uwo.ca/~rmoir3/_static/jquery.js	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_static/jquery.js	(from http://publish.uwo.ca/~rmoir3/)
06:00:53	12140/12140	---M--	200	added ('OK')	application/x-javascript	etag:%222f6c-5de6e0d3%22	http://publish.uwo.ca/~rmoir3/_static/underscore.js	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_static/underscore.js	(from http://publish.uwo.ca/~rmoir3/)
06:00:54	9270/9270	---M--	200	added ('OK')	application/x-javascript	etag:%222436-5de6e0d3%22	http://publish.uwo.ca/~rmoir3/_static/doctools.js	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_static/doctools.js	(from http://publish.uwo.ca/~rmoir3/)
06:00:54	10847/10847	---M--	200	added ('OK')	application/x-javascript	etag:%222a5f-5de6e0d3%22	http://publish.uwo.ca/~rmoir3/_static/language_data.js	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_static/language_data.js	(from http://publish.uwo.ca/~rmoir3/)
06:00:54	3137/3137	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b517a93-c41%22	https://cdnjs.cloudflare.com/ajax/libs/mathjax/2.7.5/latest.js?config=TeX-AMS-MML_HTMLorMML	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/cdnjs.cloudflare.com/ajax/libs/mathjax/2.7.5/latestdda6.js	(from http://publish.uwo.ca/~rmoir3/)
06:00:54	3021/3021	---M--	200	added ('OK')	text/html	etag:%22bcd-5de6c626%22	http://publish.uwo.ca/~rmoir3/search.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/search.html	(from http://publish.uwo.ca/~rmoir3/)
06:00:55	14550/14550	---M--	200	added ('OK')	text/html	etag:%2238d6-5de6c628%22	http://publish.uwo.ca/~rmoir3/class1.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/class1.html	(from http://publish.uwo.ca/~rmoir3/)
06:00:55	2893/2893	---M--	200	added ('OK')	text/plain	etag:%22b4d-5de6e0d5%22	http://publish.uwo.ca/~rmoir3/_sources/index.rst.txt	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_sources/index.rst.txt	(from http://publish.uwo.ca/~rmoir3/)
06:00:55	26474/26474	---M--	200	added ('OK')	text/html	etag:%22676a-5de6c627%22	http://publish.uwo.ca/~rmoir3/class2.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/class2.html	(from http://publish.uwo.ca/~rmoir3/)
06:00:56	31457/31457	---M--	200	added ('OK')	text/html	etag:%227ae1-5de6c627%22	http://publish.uwo.ca/~rmoir3/class3.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/class3.html	(from http://publish.uwo.ca/~rmoir3/)
06:00:58	26818/26818	---M--	200	added ('OK')	text/html	etag:%2268c2-5de6c627%22	http://publish.uwo.ca/~rmoir3/class4.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/class4.html	(from http://publish.uwo.ca/~rmoir3/)
06:00:58	14591/14591	---M--	200	added ('OK')	text/html	etag:%2238ff-5de6c627%22	http://publish.uwo.ca/~rmoir3/class5.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/class5.html	(from http://publish.uwo.ca/~rmoir3/)
06:00:59	13198/13198	---M--	200	added ('OK')	text/html	etag:%22338e-5de6c627%22	http://publish.uwo.ca/~rmoir3/class6.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/class6.html	(from http://publish.uwo.ca/~rmoir3/)
06:01:00	20577/20577	---M--	200	added ('OK')	text/html	etag:%225061-5de6c627%22	http://publish.uwo.ca/~rmoir3/class7.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/class7.html	(from http://publish.uwo.ca/~rmoir3/)
06:01:00	40000/40000	---M--	200	added ('OK')	text/html	etag:%229c40-5de6c627%22	http://publish.uwo.ca/~rmoir3/class8.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/class8.html	(from http://publish.uwo.ca/~rmoir3/)
06:01:01	37934/37934	---M--	200	added ('OK')	text/html	etag:%22942e-5de6c627%22	http://publish.uwo.ca/~rmoir3/class9.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/class9.html	(from http://publish.uwo.ca/~rmoir3/)
06:01:02	24408/24408	---M--	200	added ('OK')	text/html	etag:%225f58-5de6c628%22	http://publish.uwo.ca/~rmoir3/class10.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/class10.html	(from http://publish.uwo.ca/~rmoir3/)
06:01:02	29226/29226	---M--	200	added ('OK')	text/html	etag:%22722a-5de6c628%22	http://publish.uwo.ca/~rmoir3/class11.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/class11.html	(from http://publish.uwo.ca/~rmoir3/)
06:01:04	14433/14433	---M--	200	added ('OK')	text/html	etag:%223861-5de6c628%22	http://publish.uwo.ca/~rmoir3/class12.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/class12.html	(from http://publish.uwo.ca/~rmoir3/)
06:01:04	37822/37822	---M--	200	added ('OK')	text/html	etag:%2293be-5de6c628%22	http://publish.uwo.ca/~rmoir3/class13.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/class13.html	(from http://publish.uwo.ca/~rmoir3/)
06:01:05	38685/38685	---M--	200	added ('OK')	text/html	etag:%22971d-5de6c628%22	http://publish.uwo.ca/~rmoir3/class14.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/class14.html	(from http://publish.uwo.ca/~rmoir3/)
06:01:06	40728/40728	---M--	200	added ('OK')	text/html	etag:%229f18-5de6c628%22	http://publish.uwo.ca/~rmoir3/class15.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/class15.html	(from http://publish.uwo.ca/~rmoir3/)
06:01:06	4765/4765	---M--	200	added ('OK')	text/html	etag:%22129d-5de6c628%22	http://publish.uwo.ca/~rmoir3/class16.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/class16.html	(from http://publish.uwo.ca/~rmoir3/)
06:01:07	18952/18952	---M--	200	added ('OK')	text/html	etag:%224a08-5de6c629%22	http://publish.uwo.ca/~rmoir3/asn1.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/asn1.html	(from http://publish.uwo.ca/~rmoir3/)
06:01:07	33414/33414	---M--	200	added ('OK')	text/html	etag:%228286-5de6c628%22	http://publish.uwo.ca/~rmoir3/asn2.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/asn2.html	(from http://publish.uwo.ca/~rmoir3/)
06:01:09	48287/48287	---M--	200	added ('OK')	text/html	etag:%22bc9f-5de6c628%22	http://publish.uwo.ca/~rmoir3/asn3.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/asn3.html	(from http://publish.uwo.ca/~rmoir3/)
06:01:10	34617/34617	---M--	200	added ('OK')	text/html	etag:%228739-5de6c628%22	http://publish.uwo.ca/~rmoir3/asn4.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/asn4.html	(from http://publish.uwo.ca/~rmoir3/)
06:01:12	30755/30755	---M--	200	added ('OK')	text/html	etag:%227823-5de6c627%22	http://publish.uwo.ca/~rmoir3/problems.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/problems.html	(from http://publish.uwo.ca/~rmoir3/)
06:01:13	30006/30006	---M--	200	added ('OK')	text/html	etag:%227536-5de6c627%22	http://publish.uwo.ca/~rmoir3/outline.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/outline.html	(from http://publish.uwo.ca/~rmoir3/)
06:01:14	9290/9290	---M--	200	added ('OK')	text/html	etag:%22244a-5de6c627%22	http://publish.uwo.ca/~rmoir3/gettingset.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/gettingset.html	(from http://publish.uwo.ca/~rmoir3/)
06:01:14	12171/12171	---M--	200	added ('OK')	text/css	etag:%222f8b-5de6e0d3%22	http://publish.uwo.ca/~rmoir3/_static/basic.css	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_static/basic.css	(from http://publish.uwo.ca/~rmoir3/_static/sphinxdoc.css)
06:01:14	107/107	---M--	200	added ('OK')	image/png	etag:%226b-5de6e0d3%22	http://publish.uwo.ca/~rmoir3/_static/contents.png	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_static/contents.png	(from http://publish.uwo.ca/~rmoir3/_static/sphinxdoc.css)
06:01:15	120/120	---M--	200	added ('OK')	image/png	etag:%2278-5de6e0d2%22	http://publish.uwo.ca/~rmoir3/_static/navigation.png	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_static/navigation.png	(from http://publish.uwo.ca/~rmoir3/_static/sphinxdoc.css)
06:01:15	3082/3082	---M--	404	error ('Not%20found')	text/html	date:Wed,%2004%20Dec%202019%2011:01:16%20GMT	http://publish.uwo.ca/~rmoir3/minus.png	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/minus.24.delayed	(from http://publish.uwo.ca/~rmoir3/_static/doctools.js)
06:01:15	15987/15987	---M--	200	added ('OK')	application/x-javascript	etag:%223e73-5de6e0d3%22	http://publish.uwo.ca/~rmoir3/_static/searchtools.js	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_static/searchtools.js	(from http://publish.uwo.ca/~rmoir3/search.html)
06:01:16	45193/45193	---M--	200	added ('OK')	application/x-javascript	etag:%22b089-5de6c626%22	http://publish.uwo.ca/~rmoir3/searchindex.js	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/searchindex.js	(from http://publish.uwo.ca/~rmoir3/search.html)
06:01:16	16281/16281	---M--	200	added ('OK')	text/html	etag:%223f99-5de6c627%22	http://publish.uwo.ca/~rmoir3/index.html	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/index-2.html	(from http://publish.uwo.ca/~rmoir3/search.html)
06:01:17	5667/5667	---M--	200	added ('OK')	text/plain	etag:%221623-5de6e0d5%22	http://publish.uwo.ca/~rmoir3/_sources/class1.rst.txt	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_sources/class1.rst.txt	(from http://publish.uwo.ca/~rmoir3/class1.html)
06:01:19	6059/6059	---M--	200	added ('OK')	image/png	etag:%2217ab-5de6e0d7%22	http://publish.uwo.ca/~rmoir3/_images/parse.png	C:/Users/brett/Downloads/New%20folder%20(4)/CS%202120a/publish.uwo.ca/_rmoir3/_images/parse.png	(from http://publish.uwo.ca/~rmoir3/class1.html)
